date,victimization_primary,incident_primary,gunshot_injury_i,community_area,age,sex,race,location_description,latitude,longitude
2026-01-18 15:42:00,BATTERY,BATTERY,YES,WOODLAWN,20-29,M,WBH,ALLEY,41.7727583458581,-87.6087753461203
2026-01-18 15:00:00,BATTERY,BATTERY,YES,AUSTIN,0-19,M,BLK,ALLEY,41.8802616541419,-87.7582453461203
2026-01-18 10:19:00,HOMICIDE,HOMICIDE,YES,EAST GARFIELD PARK,30-39,M,BLK,APARTMENT,41.8815269041419,-87.7040709413008
2026-01-18 04:58:00,HOMICIDE,HOMICIDE,YES,NORTH LAWNDALE,40-49,M,BLK,APARTMENT,41.8559130958581,-87.7227790586992
2026-01-18 04:54:00,HOMICIDE,HOMICIDE,YES,WOODLAWN,30-39,F,BLK,YARD,41.7770969041419,-87.6027009413008
2026-01-18 04:07:00,HOMICIDE,HOMICIDE,YES,GAGE PARK,0-19,M,WWH,AUTO,41.7985716541419,-87.7070946538797
2026-01-18 02:03:00,BATTERY,BATTERY,YES,AUSTIN,20-29,F,BLK,APARTMENT,41.9004305,-87.75192
2026-01-15 21:57:00,ROBBERY,ROBBERY,YES,SOUTH CHICAGO,20-29,M,WBH,STREET,41.7492991741419,-87.5634785738797
2026-01-15 18:27:00,HOMICIDE,HOMICIDE,YES,NORTH LAWNDALE,40-49,M,BLK,STREET,41.8536030958581,-87.7243809413008
2026-01-15 13:37:00,BATTERY,BATTERY,YES,AUSTIN,20-29,F,BLK,SIDEWALK,41.9114396689467,-87.7700485474708
2026-01-14 20:39:00,BATTERY,HOMICIDE,YES,MORGAN PARK,20-29,M,BLK,STREET,41.6928096689467,-87.6717585474708
2026-01-14 20:39:00,HOMICIDE,HOMICIDE,YES,MORGAN PARK,20-29,M,BLK,STREET,41.6928096689467,-87.6717585474708
2026-01-13 18:42:00,BATTERY,BATTERY,YES,SOUTH SHORE,20-29,F,BLK,APARTMENT,41.7715869041419,-87.5698209413008
2026-01-13 17:30:00,BATTERY,BATTERY,YES,WASHINGTON PARK,UNKNOWN,M,BLK,CTA STATION,41.7958830958581,-87.6188309413008
2026-01-13 08:40:00,HOMICIDE,HOMICIDE,YES,SOUTH LAWNDALE,30-39,M,WWH,AUTO,41.8418430958581,-87.7179609413008
2026-01-12 05:24:00,BATTERY,BATTERY,YES,,20-29,F,WWH,STREET,,
2026-01-12 02:44:00,BATTERY,BATTERY,YES,SOUTH SHORE,0-19,M,BLK,STREET,41.7522130958581,-87.5761290586992
